"","Intercept","TRAITmean","TRAITdiff","STATEmean","STATEdiff","BPdiff"
"1",0.1297452893081,0.132254233331,0.0132369157545354,-0.132607540393136,0.138650273482678,-0.135072693524203
"2",0.151882014741886,0.0816076893549793,0.0640927914374931,-0.141815344509572,0.209442192298333,0.00882223692845378
"3",0.152408926853101,0.168423425175203,0.0520088258594055,-0.260875717901328,0.0154598707733113,-0.250575970987437
"4",0.0624207988597271,0.007893568957026,0.00784369024268392,0.00656314380267587,0.210252309382757,0.0928012250612269
"5",0.216204696910433,-0.116946734919081,0.00744315506139061,-0.0190147253685348,0.00822800998014405,0.0510895454666959
"6",0.111148476926863,-0.101763176405495,0.0280130611308712,0.068875759592693,-0.0178751428155813,0.104605481725778
"7",0.0782697976589317,-0.0579570641869968,0.0361317786747716,0.0153994943247735,0.179826298152381,-0.0199438258924197
"8",0.0778494287939126,-0.00952754180580621,0.0861053590981237,-0.0420557651548293,0.0561141970107767,-0.0304371360204711
"9",0.147010880097686,0.0667539414738491,0.0391497601470149,-0.0869881308830731,0.0609320625228118,-0.021721271920537
"10",0.165095594462047,-0.0533575176425897,0.0304444040447217,-0.0260294011693435,0.0514857649567146,-0.033178030622625
"11",0.142872739168563,0.0351324817019787,0.035571742374543,-0.15408650883463,0.0918807042544414,-0.0691808967000002
"12",0.0307217919985407,0.164855394617858,0.084762140539301,-0.179263015689642,0.0949383741436099,-0.0918395204824827
"13",0.246684728693738,0.0356281330227316,0.0462783694050202,-0.0792060069244518,0.12458320162178,-0.0852600390603137
"14",0.0245478069761647,0.113128096012155,0.0595678190095488,-0.141818555983233,0.0993477203090601,0.0106575323415409
"15",0.0973249203576169,0.0857355718867802,0.144529159578978,-0.098620897183244,0.0100225935606015,-0.0429549722049346
"16",0.170029720740801,0.0660471209693823,-0.0915338447282164,-0.15001653675779,0.148548244563072,-0.10821619549878
"17",0.0874956889034561,-0.0298581636858021,-0.00363262139481567,-0.172980960146319,0.107740625020029,-0.0765236629970702
"18",0.0434083114588112,0.0220782057957259,0.0133698765270378,0.0247573991843759,0.185717070034476,-0.112039582793629
